segment_id,segment_length_m,avg_speed_kmh,speed_limit_kmh,road_gradient_deg,traffic_density,vehicle_mass_kg,start_SOC_%,ambient_temp_C,accel_mps2,regen_efficiency,weather_condition,road_type,num_stops,vehicle_speed_var,payload_weight_kg,wind_speed_mps,lane_changes,tire_pressure_Pa,energy_consumed_Wh
1,300.43764794755714,25.62898233262618,42.91006447900464,3.833247704274945,0.5169045413416458,1987.780822707161,97.81360578626659,-0.2969556682959098,2.7689592894994206,0.5465417473406899,sunny,city,6,14.998597563842665,364.7955410935293,18.530460268721097,3,209713.8964407077,753.7307526961738
2,197.77957500210647,57.31876563066036,41.21621832261545,5.429317897819248,0.6079119260028318,1268.5881377670896,23.713530596471507,40.730522833535964,-1.6400056219467027,0.6965994388208129,sunny,city,3,4.837997030032116,401.86666372647807,7.976767540483309,1,208506.80056314144,22.95848725682186
3,874.3128258646836,82.998877591397,66.19017204817003,-4.329545160409856,0.21193398656232298,1140.4649434693201,35.63241253572675,29.2663978487716,-2.4234221461339516,0.6264169039022098,sunny,city,5,1.6336148593611783,257.88213634068813,8.637525973747188,2,237359.6910649161,15.388907004135504
4,1699.8056504447989,30.06803287569701,81.12733822340789,-7.321358668438502,0.0811630133094482,1458.7300747417964,30.305530354792346,33.04297937213926,-2.682259908232127,0.5362534403420834,sunny,rural,3,2.568983081120922,487.78525324465477,14.082525295059211,0,227612.16910532687,26.814754003301463
5,338.9102488456206,75.82307328228914,38.985389013627376,-4.131776475200444,0.7768885040127403,1234.2121277354513,51.92356127707887,10.38879428746077,2.842369784371137,0.5878896630580887,sunny,city,9,11.447720945253021,150.99648593562716,17.876969123370877,1,221395.37379548742,386.3384709579226
6,1335.9447212601506,105.41367963382889,103.72651025370084,-0.3248797346666632,0.6617889923738765,2435.0344507125274,46.76318947291209,34.798932928179184,-0.3603450529223935,0.5969776331741046,sunny,highway,9,11.56191519944832,135.8230975365085,17.458167762778718,1,222607.6054491822,9.825988827618486
7,916.3136228706724,37.531421852662774,35.048319088182474,-2.6018957230208555,0.6860534586445616,1520.7494899421695,47.78845892607961,-0.27037127786862314,-1.4648046089045481,0.6350060566354901,rainy,city,5,4.602161847729258,100.37929764717437,12.48587084737546,1,237728.17256954135,8.038902929912553
8,116.1156617392481,47.9936612884535,99.17155356680979,-9.733247635120804,0.4352119074255153,2353.834318262994,37.087660028268914,22.745693428675583,1.3759871782392352,0.6015993474892121,sunny,city,5,13.845690913540096,440.5812561873006,6.990657547089149,0,229444.24602579745,24.8008757803011
9,935.9907339028233,89.8717515561432,112.05761625031062,-2.935724610455886,0.6012342058108403,1626.8585861009035,16.059384985908512,9.205964647917757,-0.7042547988576007,0.7871259184214996,sunny,highway,9,13.944017495264498,17.251989279962004,17.340446435960637,1,230770.24593319953,3.6223002234805404
10,102.78974027641344,75.34823197419826,117.40987729313764,6.683494294984151,0.4790335497956478,1466.835718808276,23.30762263525485,3.1687155649108076,-2.877644397859445,0.6440646293125045,sunny,city,7,13.625131685433708,80.45076063888521,16.651679501936968,2,222526.88300406717,6.8003660909788834
